result_set_id,selection_sha256,workbook_sha256,generator_version,observation_type,observation_ref,action_ref,clip_id,source_action_slot,review_label,relative_start_seconds,relative_end_seconds,start_seconds,end_seconds,team_side,visibility,evidence_basis,training_decision,outcome,result_type,status,related_action_refs_json,note
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-006/action-001,round-01-clip-006/action-001,round-01-clip-006,1,background,0,9,161.2,170.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-006/action-002,round-01-clip-006/action-002,round-01-clip-006,2,receive,9,10,170.2,171.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-006/action-003,round-01-clip-006/action-003,round-01-clip-006,3,set,11,12,172.2,173.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-006/action-004,round-01-clip-006/action-004,round-01-clip-006,4,attack,12,13,173.2,174.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-007/action-001,round-01-clip-007/action-001,round-01-clip-007,1,serve,0,1,191.8,192.8,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-007/action-002,round-01-clip-007/action-002,round-01-clip-007,2,block,2,3,193.8,194.8,near,direct_clear,direct_video,eligible,,,,[],3-4 防守没接到球，不算dig吗（失分）
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-009/action-001,round-01-clip-009/action-001,round-01-clip-009,1,serve,3,4,450.2,451.2,near,off_camera,sequence_context,excluded,,,,[],人物没有出现在镜头内，不知道怎么划分
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-009/action-002,round-01-clip-009/action-002,round-01-clip-009,2,block,7,8,454.2,455.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-009/action-003,round-01-clip-009/action-003,round-01-clip-009,3,dig,8,9,455.2,456.2,near,direct_clear,direct_video,eligible,,,,[],
YTDown.com_YouTube_Rangitoto-vs-Taka-National-Final-Sets-1-_Media_k3PdQgm2jVs_001_1080p-round-01/result-ff966d20b55884ad,c7c9d4c21ae8fb041eece192b9c4f2c66648c863fdf79c278f08ca11e6cfe06c,3b3baa474bf5d20e24a2e979b389e5d1b6df755b3c8516c993d8cc719b53535b,spike-trace/0.1.0,action,round-01-clip-010/action-001,round-01-clip-010/action-001,round-01-clip-010,1,serve,16,17,507,508,near,off_camera,sequence_context,excluded,,,,[],人物发球时没出现在镜头内，但是发完球从底线跑上去了，所以号码识别应该算他。
