video_path,start_seconds,end_seconds,label,team_side,player_number,crop_x1,crop_y1,crop_x2,crop_y2,split,review_status,notes
../USA vs Germany _ Men's Volleyball _ Full Match _ 2024 Olympics [ylqePmC_klo].mp4,728.0,728.8,background,far,,0,0,1280,430,train,reviewed,Human-reviewed; reviewer note: 12：10发球
../USA vs Germany _ Men's Volleyball _ Full Match _ 2024 Olympics [ylqePmC_klo].mp4,731.6,732.4,background,far,,0,0,1280,430,train,reviewed,Human-reviewed; label corrected from receive
../USA vs Germany _ Men's Volleyball _ Full Match _ 2024 Olympics [ylqePmC_klo].mp4,732.0,732.8,background,far,,0,0,1280,430,train,reviewed,Human-reviewed; label corrected from set
../USA vs Germany _ Men's Volleyball _ Full Match _ 2024 Olympics [ylqePmC_klo].mp4,732.6,733.4,background,far,,0,0,1280,430,train,reviewed,Human-reviewed; label corrected from attack
../USA vs Germany _ Men's Volleyball _ Full Match _ 2024 Olympics [ylqePmC_klo].mp4,733.9,734.7,block,far,,0,0,1280,430,train,reviewed,Human-reviewed
../USA vs Germany _ Men's Volleyball _ Full Match _ 2024 Olympics [ylqePmC_klo].mp4,364.0,364.8,background,far,,0,0,1280,430,train,reviewed,Human-reviewed
../USA vs Germany _ Men's Volleyball _ Full Match _ 2024 Olympics [ylqePmC_klo].mp4,2190.0,2190.8,background,near,,0,170,1280,720,train,reviewed,Human-reviewed
../USA vs Germany _ Men's Volleyball _ Full Match _ 2024 Olympics [ylqePmC_klo].mp4,5124.0,5124.8,background,near,,0,170,1280,720,train,reviewed,Human-reviewed
../USA vs Germany _ Men's Volleyball _ Full Match _ 2024 Olympics [ylqePmC_klo].mp4,5135.6,5136.4,background,near,,0,170,1280,720,train,reviewed,Human-reviewed
../USA vs Germany _ Men's Volleyball _ Full Match _ 2024 Olympics [ylqePmC_klo].mp4,5862.0,5862.8,background,near,,0,170,1280,720,train,reviewed,Human-reviewed
../USA vs Germany _ Men's Volleyball _ Full Match _ 2024 Olympics [ylqePmC_klo].mp4,5868.8,5869.6,background,near,,0,170,1280,720,train,reviewed,Human-reviewed
